"Source:","E:\Document\EasyEDA PRJ\Schematic SHTS\Rev 2\SHTS Rev 2\SHTS Rev 2.kicad_sch"
"Date:","11/2/2024 1:18:00 PM"
"Tool:","Eeschema 7.0.8"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","21"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP"
"1","5","C1, C2, C5, C6, C9","10UF","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~",""
"2","1","DC_IN0","JACK-PLUG0","SHTS Rev 2-eagle-import:JACK-PLUG0","SHTS Rev 2:SPC4077","",""
"3","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad","~",""
"4","1","LCD0","MA04-1","SHTS Rev 2-eagle-import:MA04-1","SHTS Rev 2:MA04-1","",""
"5","2","R1, R2","10k","SHTS Rev 2-eagle-import:R-EU_R0805","SHTS Rev 2:R0805","",""
"6","2","SV1, SV2","FE15-1","SHTS Rev 2-eagle-import:FE15-1","SHTS Rev 2:FE15","",""
"7","1","SW1","SW_DIP-2","SHTS Rev 2-eagle-import:SW_DIP-2","SHTS Rev 2:EDG-02","",""
"8","1","U1","AMS1117-3.3","Regulator_Linear:AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf",""
"9","1","U$1","NODEMCU","SHTS Rev 2-eagle-import:NODEMCU","SHTS Rev 2:NODEMCU","",""
"10","1","U$2","TEMP-HUM-SENSOR-DHT22","SHTS Rev 2-eagle-import:TEMP-HUM-SENSOR-DHT22","SHTS Rev 2:TEMP-HUM-SENSOR-DHT22","",""
"11","1","U$3","GAS-SENSOR-MQ2","SHTS Rev 2-eagle-import:GAS-SENSOR-MQ2","SHTS Rev 2:GAS-SENSOR-MQ2","",""
"12","1","U$4","BSS138","SHTS Rev 2-eagle-import:BSS138","SHTS Rev 2:BSS138","",""
